,dataset,sample,learning_rate,epochs,batch_size,hypothesis/context,lr_warmup_ratio,learning_rate_importance,epochs_importance,batch_size_importance,hypothesis_importance,lr_warmup_ratio_importance
12,coronanet,5000,2.2979554061913396e-05,35,16,template_quote_long_hypo,0.2,0.29,0.17,0.02,0.42,0.13
22,manifesto-8,5000,6.165018246596135e-05,5,16,template_quote_context_long_hypo,0.6,0.2,0.4,0.07,0.08,0.23
68,cap-sotu,5000,2.8328212616391666e-05,35,32,template_quote_context,0.6,0.76,0.08,0.0,0.03,0.08
9,manifesto-military,3970,7.0147828594415285e-06,25,8,template_quote_context,0.4,0.73,0.02,0.03,0.11,0.12
49,manifesto-morality,3188,1.1504426807215601e-05,35,16,template_quote_2_context,0.4,0.69,0.08,0.1,0.08,0.13
3,manifesto-military,2500,8.417923923887983e-06,50,8,template_quote_context,0.4,0.62,0.02,0.06,0.16,0.2
15,coronanet,2500,5.88725746302143e-05,40,32,template_quote,0.6,0.28,0.65,0.03,0.04,0.16
25,manifesto-8,2500,6.564481607733685e-05,15,16,template_quote_context,0.06,0.64,0.08,0.02,0.05,0.16
33,cap-us-court,2500,1.7891014635239105e-05,30,16,template_quote,0.4,0.12,0.15,0.05,0.06,0.73
36,cap-us-court,2500,1.7891014635239105e-05,30,16,template_quote,0.4,0.07,0.16,0.05,0.04,0.74
43,manifesto-morality,2500,5.2290550177491824e-05,50,16,template_quote_context,0.06,0.78,0.01,0.0,0.08,0.12
53,sentiment-news-econ,2500,2.171382935952852e-06,5,8,template_quote,0.06,0.56,0.33,0.06,0.03,0.15
71,cap-sotu,2500,9.298762747817113e-06,15,16,template_quote_context,0.4,0.29,0.12,0.0,0.44,0.1
63,manifesto-protectionism,2116,6.489488851257952e-06,35,8,template_quote_context,0.4,0.64,0.03,0.09,0.17,0.08
0,manifesto-military,1000,8.417923923887983e-06,40,16,template_quote_2_context,0.4,0.64,0.03,0.0,0.13,0.11
10,coronanet,1000,5.7841268702787414e-05,25,32,template_quote_long_hypo,0.06,0.34,0.24,0.08,0.14,0.16
20,manifesto-8,1000,4.1193718963164235e-05,10,16,template_quote_context_long_hypo,0.2,0.56,0.1,0.08,0.08,0.14
30,cap-us-court,1000,3.272429660590938e-05,45,8,template_quote,0.6,0.39,0.07,0.19,0.06,0.29
40,manifesto-morality,1000,0.00011533459180491617,40,16,template_quote_2_context,0.6,0.74,0.12,0.0,0.09,0.12
50,sentiment-news-econ,1000,2.1933563125376118e-05,20,8,template_complex,0.06,0.42,0.3,0.05,0.02,0.09
58,manifesto-protectionism,1000,1.2364727249816461e-05,15,16,template_quote_context,0.6,0.59,0.16,0.0,0.21,0.09
66,cap-sotu,1000,2.181905993412656e-05,15,16,template_quote_context_long_hypo,0.2,0.23,0.17,0.27,0.24,0.1
2,manifesto-military,500,5.908975701463457e-06,50,8,template_quote_2_context,0.4,0.73,0.02,0.03,0.1,0.21
14,coronanet,500,7.02626320544305e-05,50,32,template_quote_long_hypo,0.06,0.33,0.27,0.03,0.05,0.35
24,manifesto-8,500,4.66719989597539e-05,10,8,template_quote_context_long_hypo,0.2,0.22,0.12,0.02,0.35,0.22
32,cap-us-court,500,3.272429660590938e-05,45,8,template_quote,0.6,0.46,0.19,0.17,0.05,0.1
42,manifesto-morality,500,2.7155770751691887e-06,25,8,template_quote_context,0.06,0.58,0.05,0.04,0.15,0.05
52,sentiment-news-econ,500,1.8398365295277235e-05,20,16,template_complex,0.2,0.72,0.11,0.04,0.07,0.05
61,manifesto-protectionism,500,9.198806678451325e-05,40,16,template_quote_context,0.4,0.67,0.02,0.0,0.22,0.02
70,cap-sotu,500,3.990014079932417e-05,35,16,template_quote_context_long_hypo,0.2,0.07,0.18,0.02,0.69,0.05
8,manifesto-military,100,8.417923923887983e-06,15,8,template_quote_context,0.06,0.22,0.04,0.0,0.18,0.41
19,coronanet,100,3.1543990308330975e-06,15,8,template_quote,0.06,0.06,0.41,0.05,0.59,0.01
29,manifesto-8,100,0.00012141307774357369,30,32,template_quote_context,0.6,0.33,0.24,0.14,0.3,0.05
39,cap-us-court,100,1.4157170148613728e-05,30,16,template_quote_long_hypo,0.2,0.07,0.44,0.21,0.22,0.09
48,manifesto-morality,100,6.464228789239818e-05,45,8,template_quote_context,0.4,0.17,0.18,0.04,0.52,0.18
57,sentiment-news-econ,100,6.09208561627334e-06,25,16,template_complex,0.06,0.33,0.1,0.02,0.23,0.12
65,manifesto-protectionism,100,0.00011300038015015401,40,8,template_quote,0.6,0.65,0.02,0.0,0.28,0.06
75,cap-sotu,100,1.6134907038916245e-06,50,32,template_quote_context,0.4,0.07,0.15,0.09,0.63,0.13
