,dataset,sample,learning_rate,epochs,batch_size,hypothesis/context,lr_warmup_ratio,learning_rate_importance,epochs_importance,batch_size_importance,hypothesis_importance,lr_warmup_ratio_importance
14,coronanet,5000,4.6197903071938266e-05,31,32,template_quote_long_hypo,0.25,0.18,0.6,0.05,0.17,0.02
24,manifesto-8,5000,2.5610954358265684e-05,23,32,template_quote_context_long_hypo,0.25,0.05,0.04,0.01,0.44,0.47
72,cap-sotu,5000,2.910782974661089e-05,23,32,template_quote_context_long_hypo,0.25,0.02,0.69,0.0,0.19,0.08
3,manifesto-military,3970,2.08590685988187e-05,33,16,template_quote_context,0.5,0.6,0.04,0.09,0.16,0.02
45,manifesto-morality,3188,5.139069476807434e-05,25,8,template_quote_context,0.5,0.56,0.06,0.04,0.27,0.09
7,manifesto-military,2500,5.3629570679671993e-05,19,16,template_quote_context,,0.53,0.14,0.12,0.11,
17,coronanet,2500,1.2217032646463444e-05,7,32,template_quote,,0.71,0.02,0.11,0.31,
27,manifesto-8,2500,8.314470450162983e-05,17,32,template_quote_context_long_hypo,,0.6,0.18,0.19,0.03,
35,cap-us-court,2500,4.6591989032151934e-05,3,32,template_quote,,0.74,0.09,0.03,0.13,
38,manifesto-morality,2500,1.7219395428516444e-05,17,16,template_quote_2_context,,0.63,0.22,0.19,0.02,
57,sentiment-news-econ,2500,1.4177205879046634e-06,11,8,template_complex,,0.87,0.02,0.02,0.05,
75,cap-sotu,2500,5.3629570679671993e-05,19,32,template_quote_context,,0.79,0.15,0.11,0.07,
67,manifesto-protectionism,2116,2.2174357641196533e-05,17,16,template_quote_2_context,,0.51,0.22,0.25,0.06,
4,manifesto-military,1000,5.469973624651568e-06,9,8,template_quote_context,,0.41,0.31,0.0,0.28,
12,coronanet,1000,6.675214389155407e-05,11,32,template_quote,,0.1,0.53,0.23,0.27,
22,manifesto-8,1000,2.200649469244444e-05,9,16,template_quote_context,,0.03,0.13,0.82,0.06,
32,cap-us-court,1000,3.253779180787796e-05,13,32,template_quote,,0.26,0.43,0.33,0.17,
43,manifesto-morality,1000,2.200649469244444e-05,9,8,template_quote_context,,0.48,0.2,0.08,0.14,
53,sentiment-news-econ,1000,1.601462283869358e-06,13,8,template_complex,,0.54,0.16,0.19,0.1,
62,manifesto-protectionism,1000,2.200649469244444e-05,9,8,template_quote_context,,0.68,0.11,0.04,0.03,
70,cap-sotu,1000,1.2217032646463444e-05,9,16,template_quote_context,,0.59,0.23,0.04,0.26,
6,manifesto-military,500,2.200649469244444e-05,7,8,template_quote_context,,0.88,0.09,0.03,0.04,
16,coronanet,500,3.5107205953493424e-05,11,32,template_quote,,0.06,0.63,0.09,0.27,
26,manifesto-8,500,2.200649469244444e-05,7,16,template_quote_context,,0.41,0.24,0.21,0.21,
34,cap-us-court,500,6.675214389155407e-05,9,32,template_quote,,0.08,0.62,0.14,0.05,
39,manifesto-morality,500,1.2217032646463444e-05,9,8,template_quote_context,,0.66,0.21,0.1,0.15,
55,sentiment-news-econ,500,5.258168640171172e-06,9,8,template_complex,,0.51,0.04,0.21,0.11,
56,sentiment-news-econ,500,1.601462283869358e-06,15,8,template_complex,,0.59,0.17,0.12,0.19,
65,manifesto-protectionism,500,2.200649469244444e-05,7,8,template_quote_context,,0.75,0.18,0.09,0.0,
74,cap-sotu,500,2.200649469244444e-05,7,16,template_quote_context,,0.72,0.11,0.02,0.3,
2,manifesto-military,100,4.4725914938671344e-06,9,8,template_quote_2,,0.71,0.04,0.14,0.05,
11,coronanet,100,1.941451498370416e-05,11,32,template_quote,,0.1,0.32,0.22,0.3,
21,manifesto-8,100,6.438997796729219e-05,11,16,template_quote,,0.34,0.36,0.18,0.19,
31,cap-us-court,100,8.190329427496868e-05,9,32,template_quote,,0.11,0.32,0.22,0.28,
44,manifesto-morality,100,2.513841230249365e-05,15,8,template_quote,,0.58,0.15,0.21,0.11,
51,sentiment-news-econ,100,2.0871100378973956e-05,7,4,template_quote,,0.71,0.12,0.13,0.0,
52,sentiment-news-econ,100,1.242790511988806e-05,17,16,template_quote,,0.69,0.1,0.06,0.0,
61,manifesto-protectionism,100,3.715821709222984e-05,11,8,template_quote,,0.54,0.13,0.2,0.05,
69,cap-sotu,100,1.2217032646463444e-05,11,16,template_quote_context,,0.51,0.11,0.1,0.17,
